KP,KI,DELAY,SETTLINGTIME
205.1,0.1,0.04,46.1908
205.1,5.1,0.04,46.58493333
210.1,0.1,0.04,45.8708
210.1,5.1,0.04,48.60569231
215.1,0.1,0.04,48.44454545
215.1,5.1,0.04,51.0288
220.1,0.1,0.04,48.40107692
220.1,5.1,0.04,51.0908
225.1,0.1,0.04,48.32828571
225.1,5.1,0.04,50.7764
230.1,0.1,0.04,50.1108
230.1,5.1,0.04,50.6164
235.1,0.1,0.04,52.33
15.1,0.1,0.05,52.8808
20.1,0.1,0.05,48.6008
20.1,5.1,0.05,90.9008
25.1,0.1,0.05,73.809
25.1,5.1,0.05,73.74171429
30.1,0.1,0.05,42.7608
30.1,5.1,0.05,59.8208
35.1,0.1,0.05,40.7408
35.1,5.1,0.05,49.289
40.1,0.1,0.05,38.99552
40.1,5.1,0.05,46.74125
45.1,0.1,0.05,37.7864
45.1,5.1,0.05,44.098
45.1,10.1,0.05,57.80305882
50.1,0.1,0.05,36.79493333
50.1,5.1,0.05,42.1376
50.1,10.1,0.05,55.671
55.1,0.1,0.05,35.8492
55.1,5.1,0.05,46.5208
55.1,10.1,0.05,53.66
60.1,0.1,0.05,38.766
60.1,5.1,0.05,45.8408
60.1,10.1,0.05,51.77454545
65.1,0.1,0.05,38.66776471
65.1,5.1,0.05,45.2808
65.1,10.1,0.05,50.578
70.1,0.1,0.05,38.413
70.1,5.1,0.05,44.6464
70.1,10.1,0.05,48.93666667
75.1,0.1,0.05,37.82816667
75.1,5.1,0.05,43.8408
75.1,10.1,0.05,47.87066667
80.1,0.1,0.05,40.6408
80.1,5.1,0.05,43.2208
80.1,10.1,0.05,46.8955
80.1,15.1,0.05,51.8008
85.1,0.1,0.05,40.8208
85.1,5.1,0.05,42.6964
85.1,10.1,0.05,46.414
90.1,0.1,0.05,40.7264
90.1,5.1,0.05,41.92826667
90.1,10.1,0.05,45.62186667
95.1,0.1,0.05,40.5808
95.1,5.1,0.05,41.63493333
